model,test_set,n_rows,macro_f1,roc_auc,global_fnr,fpr_gap,macro_fpr,macro_fnr,n_reportable_fpr
baseline,full,67200,0.8071315407732162,0.9388579670528917,0.35529597059981627,0.12166344294003868,0.07622089399731455,0.3949201260023949,14
baseline,deduplicated,66530,0.8066518272737284,0.9387221315485832,0.3559073975518893,0.12095649176937848,0.0764708910679299,0.3957864384237875,14
mitigated,full,67200,0.7934410747038534,0.935042864051552,0.4504528153300958,0.05373952288845906,0.033271952480286526,0.54487761946411,14
mitigated,deduplicated,66530,0.7932554072470996,0.9349710134990564,0.45063863757317724,0.05302445936113527,0.03344415441458111,0.546151619636286,14
