model,test_set,n_rows,macro_f1,roc_auc,global_fnr,fpr_gap,macro_fpr,macro_fnr,n_reportable_fpr
baseline,full,67200,0.8009804980743345,0.9378686425991081,0.4119963249770311,0.11019099099099099,0.06088699867090928,0.46640290936918366,14
baseline,deduplicated,66543,0.8005132826192805,0.9376428833467847,0.4134204909284952,0.10835913312693499,0.06055299652148781,0.46799715567709277,14
mitigated,full,67200,0.8001852241499607,0.9343484216249003,0.38889618060112874,0.0974238954844603,0.07514082239007851,0.42835681599803177,14
mitigated,deduplicated,66543,0.7993756339662332,0.9340006576621604,0.3911419423692636,0.09691203450988733,0.07461353744957151,0.4301022664599589,14
