arm,model,policy,n_thresholds_fitted,fpr_gap,macro_fpr,eod_fpr,macro_f1,roc_auc,macro_fnr,global_fnr,safety_fnr,fnr_source,flag_rate,degenerate
baseline,baseline,global,0,0.1025014311750576,0.06347699424373515,0.0961111257281369,0.8001818276337794,0.9374547082951123,0.46605769510696626,0.4152775954849718,0.46605769510696626,subgroup,0.09325892857142858,False
baseline + equalize,baseline,equalize,13,0.025915251596821936,0.02814868735447813,0.020677912203939188,0.7870760340802099,0.9374547082951123,0.5808037468289428,0.4851030318939493,0.5808037468289428,subgroup,0.0765922619047619,False
baseline + cap,baseline,cap,13,0.024388534039570028,0.027862953362483005,0.019436520505602035,0.7869172813806222,0.9374547082951123,0.5833936994508229,0.48654679091744324,0.5833936994508229,subgroup,0.07617559523809524,False
mitigated,mitigated,global,0,0.11023830183366568,0.045977881861190666,0.09117032531580106,0.7911999401688741,0.930216462696483,0.5290103764909715,0.4429715185719911,0.5290103764909715,subgroup,0.08883928571428572,False
mitigated + equalize,mitigated,equalize,13,0.04004643064422519,0.024884968601821923,0.023430288179117503,0.7810384301976427,0.930216462696483,0.6053122577765355,0.4878592991206195,0.6053122577765355,subgroup,0.07883928571428571,False
mitigated + cap,mitigated,cap,13,0.03946604759141033,0.02275591066546215,0.022456823483996576,0.7796750082057323,0.930216462696483,0.6143012582416569,0.4945530909568185,0.6143012582416569,subgroup,0.0772172619047619,False
