arm,model,policy,n_thresholds_fitted,fpr_gap,macro_fpr,eod_fpr,macro_f1,roc_auc,macro_fnr,global_fnr,safety_fnr,fnr_source,flag_rate,degenerate
baseline,baseline,global,0,0.12511284134506884,0.08152520957493319,0.11257313972734996,0.8056804200002454,0.9396329518083474,0.41396959983700277,0.37734610841317756,0.41396959983700277,subgroup,0.10272321428571428,False
baseline + equalize,baseline,equalize,14,0.05599751749040849,0.03612077325394437,0.040384298765745875,0.7927777375867338,0.9396329518083474,0.5407688059597913,0.45439033993962463,0.5407688059597913,subgroup,0.08410714285714285,False
baseline + cap,baseline,cap,14,0.05599751749040849,0.03606123952213192,0.04046821813601492,0.7924712857158722,0.9396329518083474,0.5424229376985423,0.45544034650216564,0.5424229376985423,subgroup,0.08391369047619048,False
mitigated,mitigated,global,0,0.09523809523809523,0.042392041846470004,0.07056580037899586,0.7931416249168411,0.9362492432745091,0.5415220595665207,0.4551778448615304,0.5415220595665207,subgroup,0.08364583333333334,False
mitigated + equalize,mitigated,equalize,14,0.03571428571428571,0.021106070106685932,0.020090297242409492,0.7830360501820406,0.9362492432745091,0.608334633909076,0.49586559915999473,0.608334633909076,subgroup,0.07497023809523809,False
mitigated + cap,mitigated,cap,14,0.03571428571428571,0.019408113836489483,0.018764371192158576,0.7790188053499273,0.9362492432745091,0.6306331412075946,0.5096469352933456,0.6306331412075946,subgroup,0.07223214285714286,False
