arm,model,policy,n_thresholds_fitted,fpr_gap,macro_fpr,eod_fpr,macro_f1,roc_auc,macro_fnr,global_fnr,safety_fnr,fnr_source,flag_rate,degenerate
baseline,baseline,global,0,0.10480461024346996,0.07336901852470049,0.08882826940265891,0.8025682122040186,0.9336539142127799,0.4234362493297318,0.37524609528809555,0.4234362493297318,subgroup,0.10514880952380952,False
baseline + equalize,baseline,equalize,14,0.040377139739480324,0.03866048602608336,0.02487669801843136,0.7922342212431863,0.9336539142127799,0.5276985094191485,0.439821498884368,0.5276985094191485,subgroup,0.08934523809523809,False
baseline + cap,baseline,cap,14,0.03962695219259361,0.03851524747748031,0.024227213715867498,0.7920717057151447,0.9336539142127799,0.5290948082589947,0.44060900380627377,0.5290948082589947,subgroup,0.08916666666666667,False
mitigated,mitigated,global,0,0.22255534064044705,0.18776692588665048,0.19804768032774822,0.7705328900765864,0.9303515994275279,0.22712784237898084,0.1970074812967581,0.22712784237898084,subgroup,0.1853125,False
mitigated + equalize,mitigated,equalize,14,0.07379890442122908,0.1162472684667695,0.05956892567571685,0.7732714913187895,0.9303515994275279,0.3357960763605995,0.2651266570416065,0.3357960763605995,subgroup,0.16041666666666668,False
mitigated + cap,mitigated,cap,14,0.07215254288023468,0.11251801214048586,0.059298841807134794,0.7742951949280581,0.9303515994275279,0.3391584283527646,0.26735792098700617,0.3391584283527646,subgroup,0.1589434523809524,False
