threshold,global_fpr,mitigated_gap,baseline_gap_at_same_fpr,gap_reduction,comparable
0.7,0.012571121666303016,0.03422364672364672,0.032570207570207566,,False
0.6,0.018781155066212384,0.05356634106634107,0.04848121369009097,-0.1048886153873132,True
0.5,0.026921333982309798,0.07704008954008955,0.07161077291712538,-0.07581703704339948,True
0.4,0.03913999429348282,0.11295928021161161,0.0974965416560858,-0.15859781580837873,True
0.3,0.05521894563703194,0.18443208319543297,0.13489271735840833,-0.36725011406953234,True
