arm,model,policy,n_thresholds_fitted,fpr_gap,macro_fpr,eod_fpr,macro_f1,roc_auc,macro_fnr,global_fnr,safety_fnr,fnr_source,flag_rate,degenerate
baseline,baseline,global,0,0.16434658688276868,0.09711698591429022,0.15644635165389892,0.8065340496814921,0.9397458282628054,0.35609916145651416,0.32615828848930306,0.35609916145651416,subgroup,0.11883928571428572,False
baseline + equalize,baseline,equalize,14,0.06711472703690602,0.04642270852943819,0.04585791789430533,0.7963147594254274,0.9397458282628054,0.4999660402482182,0.41475259220370125,0.4999660402482182,subgroup,0.09555059523809524,False
baseline + cap,baseline,cap,14,0.064084424006603,0.04389276553743183,0.04344861820399324,0.7963125239064455,0.9397458282628054,0.5041020504820664,0.4172463577897362,0.5041020504820664,subgroup,0.0947172619047619,False
mitigated,mitigated,global,0,0.18045473766101514,0.08769405400602218,0.1775573399472964,0.800166623832092,0.935456905196064,0.4000803482208692,0.355033468959181,0.4000803482208692,subgroup,0.11315476190476191,False
mitigated + equalize,mitigated,equalize,14,0.04466453848462525,0.0394684251606543,0.030956824645555513,0.7919994846589963,0.935456905196064,0.5337437252880664,0.43207770048562805,0.5337437252880664,subgroup,0.09209821428571428,False
mitigated + cap,mitigated,cap,14,0.04310932853128155,0.038729213953646514,0.029670156677072755,0.792217220461114,0.935456905196064,0.5344849533582418,0.4326027037668985,0.5344849533582418,subgroup,0.09180059523809524,False
