arm,model,policy,n_thresholds_fitted,fpr_gap,macro_fpr,eod_fpr,macro_f1,roc_auc,macro_fnr,global_fnr,safety_fnr,fnr_source,flag_rate,degenerate
baseline,baseline,global,0,0.12511284134506884,0.08152520957493319,0.11257313972734996,0.8056804200002454,0.9396329518083474,0.41396959983700277,0.37734610841317756,0.41396959983700277,subgroup,0.10272321428571428,False
baseline + equalize,baseline,equalize,14,0.05599751749040849,0.03612077325394437,0.040384298765745875,0.7927777375867338,0.9396329518083474,0.5407688059597913,0.45439033993962463,0.5407688059597913,subgroup,0.08410714285714285,False
baseline + cap,baseline,cap,14,0.05599751749040849,0.03606123952213192,0.04046821813601492,0.7924712857158722,0.9396329518083474,0.5424229376985423,0.45544034650216564,0.5424229376985423,subgroup,0.08391369047619048,False
mitigated,mitigated,global,0,0.07015130674002751,0.04168122366359216,0.042172588692327734,0.7911172170328871,0.9324322931438355,0.5375550014219799,0.44704029400183753,0.5375550014219799,subgroup,0.0875,False
mitigated + equalize,mitigated,equalize,14,0.057750759878419454,0.028216752739590092,0.03321273601175055,0.7804895255287045,0.9324322931438355,0.5967476651048765,0.4849717810736317,0.5967476651048765,subgroup,0.08014880952380952,False
mitigated + cap,mitigated,cap,14,0.057750759878419454,0.027472047530488524,0.033833739351741485,0.7797158542670041,0.9324322931438355,0.6025807566231227,0.48904055650347816,0.6025807566231227,subgroup,0.07913690476190476,False
