arm,scheme,alpha,macro_f1,roc_auc,fpr_gap,macro_fpr,fpr_variance,macro_fnr,global_fnr,safety_fnr,fnr_source,flag_rate,degenerate,note
abl_class,class,,0.7802593706257687,0.9341979395116978,0.30156888029228457,0.214240372519481,0.009353005491349585,0.21254977407168515,0.207245045281533,0.21254977407168515,subgroup,0.1747767857142857,False,
abl_subgroup_a1,subgroup,1.0,0.801273774592212,0.9336327652978497,0.10493230174081236,0.0749490798957645,0.001040162362999476,0.42450649881852154,0.3777398608741305,0.42450649881852154,subgroup,0.10505952380952381,False,reused baseline (weights are uniform)
abl_subgroup_a2,subgroup,2.0,0.7953682374243178,0.9332202011959356,0.07619815173006662,0.049156651747523435,0.0005205213682001856,0.4965991243712113,0.42380889880561756,0.4965991243712113,subgroup,0.09303571428571429,False,
abl_subgroup_a4,subgroup,4.0,0.7924402355001736,0.9312905909837764,0.050924094660028646,0.03526631581896812,0.00024584630972251736,0.542702394726963,0.4494028087675548,0.542702394726963,subgroup,0.08598214285714285,False,reused mitigated (identical settings)
abl_subgroup_a6,subgroup,6.0,0.7877192464542294,0.9290349112268431,0.04567278183182159,0.03144463581976751,0.00019048903070638338,0.5709552026142144,0.4679091744323402,0.5709552026142144,subgroup,0.0821875,False,
abl_subgroup_a10,subgroup,10.0,0.786490599056678,0.9258495658791167,0.047067448680351905,0.028361646453987633,0.00019965805089748554,0.5900798333882789,0.47447171544822153,0.5900798333882789,subgroup,0.08058035714285715,False,
