arm,scheme,alpha,macro_f1,roc_auc,fpr_gap,macro_fpr,fpr_variance,macro_fnr,global_fnr,safety_fnr,fnr_source,flag_rate,degenerate,note
abl_class,class,,0.7760497418539699,0.9335577401251777,0.315108929065377,0.21311146830174393,0.010406046842499765,0.20426219318984132,0.20790129938312116,0.20426219318984132,subgroup,0.17760416666666667,False,
abl_subgroup_a1,subgroup,1.0,0.8013336149385263,0.9336399148008345,0.16068615050041055,0.10515784174241764,0.0025400272437394933,0.338707502986246,0.3342958393489959,0.338707502986246,subgroup,0.11925595238095238,False,
abl_subgroup_a2,subgroup,2.0,0.8062993379730854,0.9396366262409398,0.15051251249881487,0.0920907403939395,0.001995517747405995,0.35839144197939743,0.3311458196613729,0.35839144197939743,subgroup,0.11736607142857143,False,
abl_subgroup_a4,subgroup,4.0,0.8027550955151972,0.9376232442526261,0.08775918841826572,0.04670618691022124,0.0006489793369389767,0.4757108744386584,0.4068775429846437,0.4757108744386584,subgroup,0.09464285714285714,False,reused mitigated (identical settings)
abl_subgroup_a6,subgroup,6.0,0.7935958569206251,0.9366241235148268,0.06067893837516366,0.027498761426947693,0.00027019739270986334,0.5451972704412328,0.4596403727523297,0.5451972704412328,subgroup,0.08188988095238095,False,
abl_subgroup_a10,subgroup,10.0,0.7911655572336895,0.9291782163008452,0.05844595344295764,0.034685898107322186,0.00026421680258200173,0.54702075629974,0.454259089119307,0.54702075629974,subgroup,0.08501488095238095,False,
