model,test_set,n_rows,macro_f1,roc_auc,global_fnr,fpr_gap,macro_fpr,macro_fnr,n_reportable_fpr
baseline,full,67200,0.8079284770376712,0.9403716768752707,0.37865861661635386,0.08656519118990688,0.06843944752690788,0.4286787867193309,14
baseline,deduplicated,66466,0.8072492506196347,0.940098940949437,0.38084454509124815,0.08567718580310066,0.06735690362670042,0.43312683023521525,14
mitigated,full,67200,0.789054905490549,0.9343827229377881,0.46331539572122327,0.04812114850022356,0.034093597509030155,0.5700733209207155,14
mitigated,deduplicated,66466,0.7885523848129325,0.9340807538116367,0.4644998001864926,0.047705988825057055,0.03354127595566261,0.5736797188286894,14
