arm,scheme,alpha,macro_f1,roc_auc,fpr_gap,macro_fpr,fpr_variance,macro_fnr,global_fnr,safety_fnr,fnr_source,flag_rate,degenerate,note
abl_class,class,,0.7609297575526869,0.9375658235332293,0.3450480660986636,0.2777247289739281,0.014828420749219197,0.1487292199055785,0.1547447171544822,0.1487292199055785,subgroup,0.2069047619047619,False,
abl_subgroup_a1,subgroup,1.0,0.8079284770376712,0.9403716768752707,0.08656519118990688,0.06843944752690788,0.0009009287240244625,0.4286787867193309,0.37865861661635386,0.4286787867193309,subgroup,0.10105654761904762,False,reused baseline (weights are uniform)
abl_subgroup_a2,subgroup,2.0,0.7995264238092769,0.9368462251215718,0.06952819735230653,0.05189385047755326,0.0004600871154576242,0.4974572388735488,0.4154088463052894,0.4974572388735488,subgroup,0.09357142857142857,False,
abl_subgroup_a4,subgroup,4.0,0.789054905490549,0.9343827229377881,0.04812114850022356,0.034093597509030155,0.00019626465966691357,0.5700733209207155,0.46331539572122327,0.5700733209207155,subgroup,0.08305059523809524,False,reused mitigated (identical settings)
abl_subgroup_a6,subgroup,6.0,0.7856533514047157,0.9321075519460956,0.046357615894039736,0.029597835172056393,0.00021117467416756824,0.5933144629375318,0.4747342170888568,0.5933144629375318,subgroup,0.0809375,False,
abl_subgroup_a10,subgroup,10.0,0.7799725589359217,0.929325888618621,0.046357615894039736,0.02356565827034907,0.00015934418097940926,0.6168828731509576,0.49612810080063,0.6168828731509576,subgroup,0.07650297619047619,False,
