model,test_set,n_rows,macro_f1,roc_auc,global_fnr,fpr_gap,macro_fpr,macro_fnr,n_reportable_fpr
baseline,full,67200,0.8056804200002454,0.9396329518083474,0.37734610841317756,0.12511284134506884,0.08152520957493319,0.41396959983700277,14
baseline,deduplicated,66485,0.8042589645176463,0.9390128920390923,0.38017080330931413,0.12511284134506884,0.08142497923279592,0.4165332342019551,14
mitigated,full,67200,0.8044822890116962,0.9385794371319551,0.38797742485890535,0.1657567927987998,0.07855156582737484,0.42757164728019015,14
mitigated,deduplicated,66485,0.8029110739838463,0.937930775533617,0.39097945022684816,0.16569293152262585,0.07851778784121964,0.4315030099825268,14
